trial,unsafe_recall,safe_specificity,unsafe_precision,negative_predictive_value,alert_coverage,balanced_accuracy,true_positives
86,0.7846385542168675,0.6802958977807666,0.30476747587013747,0.9464820359281437,0.39016318612347367,0.732467225998817,1042
87,0.7816265060240963,0.6797579018157364,0.30359754314126935,0.9457335329341318,0.39016318612347367,0.7306922039199164,1038
88,0.7876506024096386,0.680833893745797,0.30593740859900553,0.9472305389221557,0.39016318612347367,0.7342422480777178,1046
89,0.7808734939759037,0.6796234028244789,0.3033050599590524,0.9455464071856288,0.39016318612347367,0.7302484484001912,1037
90,0.7944277108433735,0.682044384667115,0.30856975723895874,0.9489146706586826,0.39016318612347367,0.7382360477552443,1055
91,0.776355421686747,0.6788164088769334,0.3015501608657502,0.9444236526946108,0.39016318612347367,0.7275859152818402,1031
92,0.7914156626506024,0.6815063887020847,0.3073998245100907,0.9481661676646707,0.39016318612347367,0.7364610256763435,1051
93,0.776355421686747,0.6788164088769334,0.3015501608657502,0.9444236526946108,0.39016318612347367,0.7275859152818402,1031
94,0.7793674698795181,0.6793544048419636,0.3027200935946183,0.9451721556886228,0.39016318612347367,0.7293609373607408,1035
95,0.7838855421686747,0.6801613987895091,0.30447499268792044,0.9462949101796407,0.39016318612347367,0.7320234704790919,1041
96,0.7846385542168675,0.6802958977807666,0.30476747587013747,0.9464820359281437,0.39016318612347367,0.732467225998817,1042
97,0.7921686746987951,0.6816408876933423,0.3076923076923077,0.9483532934131736,0.39016318612347367,0.7369047811960687,1052
98,0.7838855421686747,0.6801613987895091,0.30447499268792044,0.9462949101796407,0.39016318612347367,0.7320234704790919,1041
99,0.7868975903614458,0.6806993947545393,0.30564492541678856,0.9470434131736527,0.39016318612347367,0.7337984925579926,1045
100,0.7823795180722891,0.679892400806994,0.3038900263234864,0.9459206586826348,0.39016318612347367,0.7311359594396416,1039
101,0.7838855421686747,0.6801613987895091,0.30447499268792044,0.9462949101796407,0.39016318612347367,0.7320234704790919,1041
102,0.7801204819277109,0.6794889038332212,0.30301257677683535,0.9453592814371258,0.39016318612347367,0.729804692880466,1036
103,0.7846385542168675,0.6802958977807666,0.30476747587013747,0.9464820359281437,0.39016318612347367,0.732467225998817,1042
104,0.7771084337349398,0.678950907868191,0.30184264404796723,0.9446107784431138,0.39016318612347367,0.7280296708015654,1032
