condition,true_class,magnitude,sequence_replicate,evidence_budget,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,marginal_mae,joint_total_variation,joint_js_divergence
structural_change_delta_0.050,structural_change,0.05,406,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,406,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,406,20,0.0,1.0,1.0,0.95,1.0,1.0,0.82,0.043333333333333335,0.13,0.03157865158259736
structural_change_delta_0.050,structural_change,0.05,407,5,0.0,1.0,1.0,0.2,1.0,1.0,0.82,0.20666666666666664,0.62,0.2987088714449887
structural_change_delta_0.050,structural_change,0.05,407,10,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,407,20,0.0,1.0,1.0,0.7,1.0,1.0,0.82,0.04,0.12,0.014356306905036004
structural_change_delta_0.050,structural_change,0.05,408,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,408,10,0.0,1.0,1.0,0.7,1.0,1.0,0.82,0.04,0.12,0.014356306905036004
structural_change_delta_0.050,structural_change,0.05,408,20,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,409,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,409,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,409,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,410,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,410,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,410,20,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,411,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,411,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,411,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,412,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,412,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,412,20,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,413,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,413,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,413,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,414,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,414,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,414,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,415,5,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,415,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,415,20,0.0,1.0,1.0,0.75,1.0,1.0,0.82,0.023333333333333317,0.06999999999999998,0.00525439454014014
structural_change_delta_0.050,structural_change,0.05,416,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,416,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,416,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
